"user_id","noShows","total_Time","weekday","weekend","Afternoon","Day","Evening","Night","Children","Comedy","Drama","Entertainment","Factual","Learning","Music","News","NoGenre","RelEthics","Sport","Weather","per_al_Watched","numberOfShows_M2","total_Time_M2","watched_in_M2"
"cc172f",21,912.830066666667,0.238095238095238,0.761904761904762,0,0.761904761904762,0,0.238095238095238,0,33.3333333333333,23.8095238095238,4.76190476190476,38.0952380952381,0,0,0,0,0,0,0,76.1904761904762,24,765.18555,"1"
"cc190c",69,2271.40215,0.768115942028985,0.231884057971014,0.072463768115942,0.188405797101449,0.507246376811594,0.231884057971014,0,4.34782608695652,40.5797101449275,1.44927536231884,43.4782608695652,0,0,8.69565217391304,0,0,0,1.44927536231884,57.9710144927536,64,1509.23991666667,"1"
"cc1d03",9,143.629333333333,1,0,0,1,0,0,0,0,44.4444444444444,0,55.5555555555556,0,0,0,0,0,0,0,22.2222222222222,4,114.76205,"1"
"cc202b",5,110.410866666667,1,0,0,0.6,0.4,0,0,40,40,20,0,0,0,0,0,0,0,0,20,5,103.146283333333,"1"
"cc30f9",2,36.18455,1,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"0"
"cc31d4",15,389.24805,0.666666666666667,0.333333333333333,0.2,0.333333333333333,0.333333333333333,0.133333333333333,20,13.3333333333333,13.3333333333333,26.6666666666667,20,0,0,0,0,0,6.66666666666667,0,40,13,325.39915,"1"
"cc34df",42,780.88005,0.833333333333333,0.166666666666667,0,0,1,0,0,2.38095238095238,2.38095238095238,9.52380952380952,47.6190476190476,0,2.38095238095238,23.8095238095238,0,2.38095238095238,2.38095238095238,7.14285714285714,40.4761904761905,65,1422.38656666667,"1"
"cc39fb",3,28.19005,1,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,23,474.3101,"1"
"cc3cf7",5,162.354583333333,1,0,0.2,0,0.8,0,0,0,100,0,0,0,0,0,0,0,0,0,40,0,0,"0"
"cc3e7c",1,0.964633333333333,1,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"cc4326",14,164.376116666667,0.714285714285714,0.285714285714286,0.142857142857143,0.142857142857143,0.642857142857143,0.0714285714285714,0,7.14285714285714,14.2857142857143,7.14285714285714,71.4285714285714,0,0,0,0,0,0,0,14.2857142857143,3,6.06745,"1"
"cc4961",1,11.17905,0,1,0,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,"0"
"cc4b5e",11,138.442,0.636363636363636,0.363636363636364,0.363636363636364,0,0.454545454545455,0.181818181818182,0,18.1818181818182,0,0,63.6363636363636,0,0,18.1818181818182,0,0,0,0,63.6363636363636,14,130.376983333333,"1"
"cc593e",11,192.6433,1,0,0.0909090909090909,0.909090909090909,0,0,0,27.2727272727273,72.7272727272727,0,0,0,0,0,0,0,0,0,18.1818181818182,5,133.031883333333,"1"
"cc6100",5,260.60545,1,0,0.8,0,0,0.2,0,0,0,0,0,0,0,100,0,0,0,0,20,20,331.18635,"1"
"cc6492",22,125.9484,0.545454545454545,0.454545454545455,0.181818181818182,0.136363636363636,0.545454545454545,0.136363636363636,0,0,9.09090909090909,0,90.9090909090909,0,0,0,0,0,0,0,4.54545454545455,6,53.6745666666667,"1"
"cc6528",19,420.08205,0.736842105263158,0.263157894736842,0.105263157894737,0.105263157894737,0.789473684210526,0,0,31.5789473684211,5.26315789473684,42.1052631578947,15.7894736842105,0,0,5.26315789473684,0,0,0,0,42.1052631578947,15,371.574166666667,"1"
"cc6795",1,1.16905,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"0"
"cc71a7",3,17.4226666666667,0,1,0.666666666666667,0,0.333333333333333,0,0,0,100,0,0,0,0,0,0,0,0,0,0,2,7.15656666666667,"1"
"cc72ea",15,254.25795,1,0,0,1,0,0,0,46.6666666666667,0,46.6666666666667,6.66666666666667,0,0,0,0,0,0,0,26.6666666666667,0,0,"0"
"cc734c",1,0.0863833333333333,0,1,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"cc7818",2,24.8163166666667,1,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"0"
