"noShows","total_Time","weekday","weekend","Afternoon","Day","Evening","Night","Children","Comedy","Drama","Entertainment","Factual","Learning","Music","News","NoGenre","RelEthics","Sport","Weather","per_al_Watched","watched_in_Feb"
49,1011.35746666667,0.571428571428571,0.428571428571429,0.0612244897959184,0.102040816326531,0.489795918367347,0.346938775510204,0,2.04081632653061,42.8571428571429,14.2857142857143,38.7755102040816,0,2.04081632653061,0,0,0,0,0,32.6530612244898,"Yes"
2,5.85,1,0,0.5,0.5,0,0,0,0,0,0,50,0,0,50,0,0,0,0,100,"Yes"
1,60,1,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,100,"No"
3,11.3019333333333,1,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,66.6666666666667,"No"
7,29.9235166666667,1,0,0,0.857142857142857,0.142857142857143,0,0,28.5714285714286,0,0,28.5714285714286,0,0,42.8571428571429,0,0,0,0,57.1428571428571,"Yes"
1,0.166216666666667,1,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"No"
2,10.3601833333333,1,0,0,1,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,"No"
1,1.85,1,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,"No"
2,78.2118166666667,1,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,50,"Yes"
13,356.08035,0.692307692307692,0.307692307692308,0,0,0.923076923076923,0.0769230769230769,0,23.0769230769231,0,15.3846153846154,61.5384615384615,0,0,0,0,0,0,0,61.5384615384615,"Yes"
50,984.369116666667,0.7,0.3,0.18,0.14,0,0.68,0,6,30,14,42,0,0,0,0,0,8,0,48,"Yes"
1,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,"No"
29,274.329133333333,0.689655172413793,0.310344827586207,0.0344827586206897,0.172413793103448,0.517241379310345,0.275862068965517,3.44827586206897,6.89655172413793,75.8620689655172,0,13.7931034482759,0,0,0,0,0,0,0,10.3448275862069,"Yes"
